City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
480,Manaus,BR,-3.1019,-60.025,93.7,66,40,1.14,scattered clouds
481,Pathein,MM,16.7833,94.7333,70.99,77,14,6.44,few clouds
482,Chernyakhovsk,RU,54.6335,21.8156,30.09,95,100,14.56,light snow
483,Puri,IN,19.8,85.85,63.12,60,5,5.61,clear sky
484,Raudeberg,NO,61.9875,5.1352,30.87,94,95,12.28,snow
485,Yumen,CN,40.2833,97.2,22.28,38,0,2.62,clear sky
486,Zhangye,CN,38.9342,100.4517,24.22,45,0,5.17,clear sky
487,Monrovia,LR,6.3005,-10.7969,80.37,76,55,5.84,light rain
488,Luganville,VU,-15.5333,167.1667,79.47,84,80,5.84,broken clouds
489,Borujerd,IR,33.8973,48.7516,48.72,53,69,7.96,broken clouds
490,Sao Filipe,CV,14.8961,-24.4956,74.77,67,100,13.04,overcast clouds
491,Koindu,GN,8.4386,-10.3253,78.66,67,76,3.02,broken clouds
492,Kushima,JP,31.4583,131.2333,41.67,75,1,6.53,clear sky
493,Kahului,US,20.8947,-156.47,77.85,85,40,6.91,scattered clouds
494,Tres Arroyos,AR,-38.3739,-60.2798,80.19,23,25,9.91,scattered clouds
495,Cranbrook,CA,49.4999,-115.7688,51.64,71,90,12.66,overcast clouds
496,Kostino,RU,58.9097,53.2691,31.1,99,100,1.95,snow
497,Hamadan,IR,34.7992,48.5146,48.27,43,21,14.45,few clouds
498,Tshikapa,CD,-6.4167,20.8,71.37,97,81,3.15,broken clouds
499,Belmonte,BR,-15.8631,-38.8828,82.9,75,60,13.85,broken clouds
500,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,79,40,1.01,volcanic ash
501,Rawson,AR,-43.3002,-65.1023,74.14,30,52,13.18,broken clouds
502,Ust-Omchug,RU,61.15,149.6333,-31.18,95,85,6.4,overcast clouds
503,Doka,SD,13.5167,35.7667,82.98,21,0,7.72,clear sky
504,Maragogi,BR,-9.0122,-35.2225,84.16,59,96,11.79,overcast clouds
505,Bam,IR,29.106,58.357,60.78,32,0,4.12,clear sky
506,Mazatlan,MX,23.2167,-106.4167,83.01,74,40,4.0,scattered clouds
507,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,72,20,11.5,few clouds
508,Santo Antonio Do Ica,BR,-3.1022,-67.9397,75.79,97,92,2.46,light rain
509,North Haven,US,41.3909,-72.8595,50.05,49,1,3.0,clear sky
510,Kenai,US,60.5544,-151.2583,18.14,81,90,8.05,overcast clouds
511,Coquimbo,CL,-29.9533,-71.3436,65.93,59,0,14.97,clear sky
512,Zemio,CF,5.0314,25.1361,74.62,72,97,3.36,overcast clouds
513,Lazaro Cardenas,MX,17.9583,-102.2,84.79,64,56,3.42,broken clouds
514,Ust-Tsilma,RU,65.441,52.1498,21.99,95,100,7.14,light snow
515,Sangar,RU,63.9242,127.4739,-25.08,94,94,3.51,overcast clouds
516,Nadym,RU,65.5333,72.5167,-0.81,96,100,9.15,overcast clouds
